country_id,year,month,type,date,source,candidate_1,party_1,votes1_1,votes2_1,vote_share1_1,vote_share2_1,e_votes_1,e_vote_share_1,candidate_2,party_2,votes1_2,votes2_2,vote_share1_2,vote_share2_2,e_votes_2,e_vote_share_2,candidate_3,party_3,votes1_3,votes2_3,vote_share1_3,vote_share2_3,e_votes_3,e_vote_share_3,candidate_4,party_4,votes1_4,votes2_4,vote_share1_4,vote_share2_4,e_votes_4,e_vote_share_4,candidate_5,party_5,votes1_5,votes2_5,vote_share1_5,vote_share2_5,e_votes_5,e_vote_share_5,candidate_6,party_6,votes1_6,votes2_6,vote_share1_6,vote_share2_6,e_votes_6,e_vote_share_6,candidate_7,party_7,votes1_7,votes2_7,vote_share1_7,vote_share2_7,e_votes_7,e_vote_share_7,candidate_8,party_8,votes1_8,votes2_8,vote_share1_8,vote_share2_8,e_votes_8,e_vote_share_8,candidate_9,party_9,votes1_9,votes2_9,vote_share1_9,vote_share2_9,e_votes_9,e_vote_share_9,candidate_10,party_10,votes1_10,votes2_10,vote_share1_10,vote_share2_10,e_votes_10,e_vote_share_10,candidate_11,party_11,votes1_11,votes2_11,vote_share1_11,vote_share2_11,e_votes_11,e_vote_share_11,candidate_12,party_12,votes1_12,votes2_12,vote_share1_12,vote_share2_12,e_votes_12,e_vote_share_12,candidate_13,party_13,votes1_13,votes2_13,vote_share1_13,vote_share2_13,e_votes_13,e_vote_share_13,candidate_14,party_14,votes1_14,votes2_14,vote_share1_14,vote_share2_14,e_votes_14,e_vote_share_14,candidate_15,party_15,votes1_15,votes2_15,vote_share1_15,vote_share2_15,e_votes_15,e_vote_share_15,candidate_16,party_16,votes1_16,votes2_16,vote_share1_16,vote_share2_16,e_votes_16,e_vote_share_16,candidate_17,party_17,votes1_17,votes2_17,vote_share1_17,vote_share2_17,e_votes_17,e_vote_share_17,candidate_18,party_18,votes1_18,votes2_18,vote_share1_18,vote_share2_18,e_votes_18,e_vote_share_18,candidate_19,party_19,votes1_19,votes2_19,vote_share1_19,vote_share2_19,e_votes_19,e_vote_share_19,candidate_20,party_20,votes1_20,votes2_20,vote_share1_20,vote_share2_20,e_votes_20,e_vote_share_20,candidate_21,party_21,votes1_21,votes2_21,vote_share1_21,vote_share2_21,e_votes_21,e_vote_share_21,candidate_22,party_22,votes1_22,votes2_22,vote_share1_22,vote_share2_22,e_votes_22,e_vote_share_22,candidate_23,party_23,votes1_23,votes2_23,vote_share1_23,vote_share2_23,e_votes_23,e_vote_share_23,candidate_24,party_24,votes1_24,votes2_24,vote_share1_24,vote_share2_24,e_votes_24,e_vote_share_24,candidate_25,party_25,votes1_25,votes2_25,vote_share1_25,vote_share2_25,e_votes_25,e_vote_share_25,candidate_26,party_26,votes1_26,votes2_26,vote_share1_26,vote_share2_26,e_votes_26,e_vote_share_26,candidate_27,party_27,votes1_27,votes2_27,vote_share1_27,vote_share2_27,e_votes_27,e_vote_share_27,candidate_28,party_28,votes1_28,votes2_28,vote_share1_28,vote_share2_28,e_votes_28,e_vote_share_28,candidate_29,party_29,votes1_29,votes2_29,vote_share1_29,vote_share2_29,e_votes_29,e_vote_share_29,candidate_30,party_30,votes1_30,votes2_30,vote_share1_30,vote_share2_30,e_votes_30,e_vote_share_30,candidate_31,party_31,votes1_31,votes2_31,vote_share1_31,vote_share2_31,e_votes_31,e_vote_share_31,candidate_32,party_32,votes1_32,votes2_32,vote_share1_32,vote_share2_32,e_votes_32,e_vote_share_32,candidate_33,party_33,votes1_33,votes2_33,vote_share1_33,vote_share2_33,e_votes_33,e_vote_share_33,candidate_34,party_34,votes1_34,votes2_34,vote_share1_34,vote_share2_34,e_votes_34,e_vote_share_34,candidate_35,party_35,votes1_35,votes2_35,vote_share1_35,vote_share2_35,e_votes_35,e_vote_share_35,candidate_36,party_36,votes1_36,votes2_36,vote_share1_36,vote_share2_36,e_votes_36,e_vote_share_36,candidate_37,party_37,votes1_37,votes2_37,vote_share1_37,vote_share2_37,e_votes_37,e_vote_share_37,candidate_38,party_38,votes1_38,votes2_38,vote_share1_38,vote_share2_38,e_votes_38,e_vote_share_38,candidate_39,party_39,votes1_39,votes2_39,vote_share1_39,vote_share2_39,e_votes_39,e_vote_share_39,flag_two_round,flag_inconsequential,flag_inconsequential_note,flag_coup,flag_plebiscite,flag_unopposed,flag_indirect
UGA,2011,,Presidential,2011-02-18,AC,Yoweri Museveni,NRM,5428369,,68.4,,,,Kizza Besigye,FDC,2064963,,26,,,,Norbert Mao,DP,147917,,1.9,,,,Olara Otunnu,UPC,125059,,1.6,,,,Beti Kamya,UFA,52782,,0.7,,,,Abed Bwanika,PDP,51708,,0.7,,,,Jaberi Ssali,PPP,34688,,0.4,,,,Samuel Lubega,,32726,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2011,,Presidential,2011-10-23,AC,Cristina Fernandez de Kirchner,Front for Victory,11865055,,54.1,,,,Hermes Juan Binner,Broad Progressive Front,3684970,,16.8,,,,Ricardo Luis Alfonsin,Union for Social Development,2443016,,11.1,,,,Alberto Jose Rodriguez Saa,Federal Compromise,1745354,,8,,,,Eduardo Duhalde,Popular Front,1285830,,5.9,,,,Jorge Altamira,Front of the Left and the Workers,503372,,2.3,,,,Elisa Maria Evelina Carrio,Civic Coalition,399685,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,2011,,Presidential,2011-11-08,IFES,Ellen Johnson-Sirleaf,Unity Party (Up),530020,607618,43.93,90.71,,,Winston A. Tubman,Congress For Democratic Change (Cdc),394370,62207,32.68,9.29,,,Charles Walker Brumskine,Liberty Party / (Lp),65800,,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
HAI,2011,,Presidential,2011-03-20,IFES,Michel Martelly,Repons peyizan,234617,716986,21.84,68.04,,,Mirlande Manigat,Rassemblement des démocrates nationaux progressistes (RDNP),336878,336747,31.37,31.96,,,Jude Celestin,Coalition: Unity / Inite,241462,,22.48,,,,Charles Henri Jean-Marie Baker,Respect / Respe,25512,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
IRE,2011,,Presidential,2011-10-27,AC,Michael D Higgins,Labour,701101,1007104,39.6,61.6,,,Seán Gallagher,Independent,504964,628114,28.5,38.4,,,Martin McGuinness,Sinn Fein,243030,,13.7,,,,Gay Mitchell,Fine Gael,113321,,6.4,,,,David Norris,,109469,,6.2,,,,Dana Scallon,,51220,,2.9,,,,Mary Davis,,48657,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
NIR,2011,,Presidential,2011-03-12,IFES,Mahamadou Issoufou,Parti Nigerien Pour La Democratie Et Le Socialisme(Pnds),1217527,1820639,36.06,57.95,,,Seyni Oumarou,National Movement For The Development Of Society (Mnsd-Nassara) / Mouvement National Pour La Societe Du Developpement,784618,1321248,23.24,42.05,,,Hama Amadou,Mouvement Democratique Nigerien,669153,,19.82,,,,Mahamane Ousmane,Convention Democratique Et Sociale / (Cds),284188,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
CAP,2011,,Presidential,2011-08-21,IFES,Jorge Carlos Fonseca,Movement for Democracy / Movimento para a Democracia (MPD),60887,97735,37.79,54.26,,,Manuel Inocencio Sousa,African Party for the Independence of Cape Verde / Partido Africano da Independência de Cabo Verde (PAICV),52612,82379,32.66,45.74,,,Aristide Lima,Independent,44648,,27.71,,,,Joaquim Jaime Monterio,Independent,2958,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
GUA,2011,,Presidential,2011-11-06,IFES,Otto Perez Perez Molina,Patriotic Party (Pp) / Partido Patriota,1611493,2300979,36.01,53.74,,,Manuel Baldizon,Renewed Democratic Liberty Party / Libertad Democrática Renovada (Lider),1038287,1981003,23.2,46.26,,,Eduardo Suger,Creo Guatemala,732842,,16.38,,,,Harold Caballeros,Vision With Values / Vision Con Valores,275475,,6.16,,,,Patricia De Arzu,Unionist Party / Partido Unionista(Pu),97381,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
STP,2011,,Presidential,2011-08-07,Wiki,Manuel Pinto da Costa,Independent,21457,35112,35.62,52.88,,,Evaristo Carvalho,Independent Democratic Action,13125,31287,21.79,47.12,,,Delfim Neves,Democratic Convergence Party – Reflection Group and Force for Change Democratic Movement – Liberal Party,8652,,14.36,,,,Maria das Neves,Independent,8461,,14.04,,,,Elsa Pinto,Independent,2682,,4.45,,,,Aurélio Martins,Movement for the Liberation of São Tomé and Príncipe/Social Democratic Party,2445,,4.06,,,,Filinto Costa Alegre,Independent,2401,,3.99,,,,Hélder Barros,Independent,414,,0.69,,,,Jorge Coelho,Independent,401,,0.67,,,,Manuel de Deus Lima,Independent,208,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
BUL,2011,,Presidential,2011-10-30,EED,Rosen Plevneliev,Citizens for European Development of Bulgaria,1349380,1698136,40.11,52.58,,,Ivaylo Kalfin,Bulgarian Socialist Party,974300,1531193,28.96,47.42,,,Meglena Kuneva,Independent,470808,,14,,,,Volen Siderov,National Union Attack,122466,,3.64,,,,Stefan Solakov,National Front for Salvation of Bulgaria,84205,,2.5,,,,Rumen Hristov,Blue Coalition,65761,,1.95,,,,Atanas Semov,"Order, Law and Justice",61797,,1.84,,,,Svetoslav Vitkov,Independent,54125,,1.61,,,,Sali Ibrayim,National Movement Unity,41837,,1.24,,,,Other,,139405,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
PER,2011,,Presidential,2011-06-05,IFES,Ollanta Moises Humala Tasso,alliance:alianza gana peru (The alliance is made up of Partido Nacionalista Peruano).,4643064,7937704,31.7,51.45,,,Keiko Sofia Fujimori Higuchi,alliance:fuerza 2011 / fuerza 2011 (The alliance is made up of Fuerza 2011 and Renovacion Nacional).,3449562,7490647,23.55,48.55,,,Pedro Pablo Kuczynski,"alliance:alianza por el gran cambio (The alliance is made up of Alianza para el Progreso, Partido Humanista Peruano, Partido Popular Peruano, and Restauracion Nacional).",2711332,,18.51,,,,Alejandro Toledo Manrique,"alliance:alianza peru posible (The alliance is made up of Accion Popular, Partido Democratico Somos Peru, and Peru Posible).",2289540,,15.63,,,,Oscar Luis Castaneda Lossio,"alliance:national solidarity alliance / alianza solidaridad nacional (The alliance is made up of Cambio 90, Partido Solidaridad Nacional, Siempre Unidos, Todos por el Peru, and Union por el Peru).",1440242,,9.83,,,,Jose Nique De La Puente,Partido Fonavista Del Peru,37011,,0,,,,Ricardo Manuel Noriega,Partido Despertar Nacional,21647,,0,,,,Rafael Luis Belaunde Aubry,Partido Politico Adelante,17301,,0,,,,Juliana Edith Reymer Rodriquez,Partido Fuerza Nacional,16830,,0,,,,Humberto Pinazo Bella,"Justicia, Tecnologia, Ecologia",11274,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
BOL,1934,,Presidential,1934-11-11,Wiki,Franz Tamayo Solares,PRG,9642,,59.21,,,,Juan María Zalles (PL),PL,6642,,40.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
DOM,1934,,Presidential,1934-05-16,Nohlen,Rafael L. Trujillo Molina,Partido Dominicano (Dominican Party),256423,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
COL,1934,,Presidential,1934-02-11,Nohlen,Alfonso López Pumarejo,Partido Liberal Colombiano (Colombian Liberal Party),938608,,99.6,,,,Eutiquio Timoté,Partido Comunista de Colombia (Communist Party of Colombia),1974,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,1934,,Presidential,1934-07-01,Nohlen,Lázaro Cárdenas del Río,Partido Nacional Revolucionario (National Revolutionary Party),2225000,,98.2,,,,Antonio I. Villareal,Confederación Revolucionaria de Partidos Independientes (Revolutionary Confederation of Independent Parties),24395,,1.1,,,,Adalberto Tejeda,Partido Socialista de las Izquierdas (Socialist Parties of the Lefts),16037,,0.7,,,,Hernán Laborde,Partido Comunista Mexicano (Mexican Communist Party),539,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HON,1997,,Presidential,1997-11-30,Nohlen,Carlos Flores Facussé,Partido Liberal de Honduras (Liberal Party of Honduras),1040403,,52.7,,,,Nora Gúnera de Melger,Partido Nacional de Honduras (National Party of Honduras),844985,,42.8,,,,Olban Valladares Ordóñez,Partido de Innovación y Unidad-Social Demócrata (Party of Innovation and Unity-Social Democratic),41605,,2.1,,,,Arturo Corrales Álvarez,Partido Demócrata Cristiano de Honduras (Christian Democratic Party of Honduras),24737,,1.3,,,,Matías Funes Valladares,Partido Unificación Democrática (Democratic Unification Party),24243,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,1997,,Presidential,1997-11-23,Nohlen,Milan Kucan,Independent,578925,,55.5,,,,Janez Podobnik,Slovenska ljudska stranka (Slovenian People’s Party),191645,,18.4,,,,Jozef Bernik,Socialdemokratska Stranka Slovenije (Social Democratic Party of Slovenia)+Slovenian Christian Democrats,98996,,9.5,,,,Marjan Cerar,Independent,73439,,7,,,,Marjan Poljšak,Nacionalna stranka dela (National Labor Party),33477,,3.2,,,,Anton Peršak,Democratic Party of Slovenia-Democrats of Slovenia,32039,,3.1,,,,Bogomic Kovac,,28110,,2.7,,,,Franc Miklavcic,,5713,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRO,1997,,Presidential,1997-06-15,Nohlen,Franjo Tu man,Hrvatska demokratska zajednica (Croatian Democratic Union),1337990,,61.4,,,,Zdravko Tomac,Socijaldemokratska partija Hrvatske (Social Democratic Party of Croatia),458172,,21,,,,Vlado Gotovac,Hrvatska socijalno-liberalna stranka (Croatian Social Liberal Party),382630,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRE,1997,,Presidential,1997-10-30,Nohlen,Mary McAleese,Fianna Fáil-the Republican Party (Soldiers of Destiny),574424,706259,45.2,58.7,,,Mary Banotti,Fine Gael-United Ireland Party (Tribe of Gaels),372002,497516,29.3,41.3,,,Rosemary Scallon,Independent / Non-party,175458,,13.8,,,,Adi Roche,Lab,88423,,7,,,,Derek Nally,Independent / Non-party,59529,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
IRN,1997,,Presidential,1997-05-23,Nohlen,Sayyid Mohammad Khatami,Combatant Clerics of Tehran (Rûhâniyûn-e Mobârez-e Tehrân),20078187,,69.6,,,,Ali Akbar Nateq Nur,Association of Combatant Clergy (Jâme ‘e-ye Rûhâniyat-e Mobârez),7242859,,25.1,,,,Sayyid Reza Zavare’i,Independent,771460,,2.7,,,,Mohammad Reyshahri,Association for the Defense of Revolutionary Values (Jam‘iyat-e Defâ ‘ az Arzeshhâ-ye Enqelâb),742598,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAA,1997,,Presidential,1997-12-12,AC,Maaouya Ould Sid' Ahmed TAYA,PRDS - Parti Républicain Démocratique et Social (Republican Democratic and Social Party),800333,,90.1,,,,Chbih Ould Cheikh Mailainine,"FDPL - Front Democratique, Populair et Liberal (Democratic, Popular and Liberal Front)",62132,,7,,,,Moulaye Ould Jiyed,PMR - Parti Mauritanien pour le Rénouvellement (Mauritanean Party for Renewal),7652,,0.9,,,,Mohamed Mahmoud Ould Mah,"UPSD - Union Populaire Socialiste et Démocratique (Popular, Socialist and Democratic Union)",6352,,0.7,,,,Kane Moctar,"PLEJ - Parti pour Liberte, Egalite et Justice (Party For Liberty, Equality and Justice)",3326,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON,1997,,Presidential,1997-05-18,Nohlen,Natsagiyn Bagabandi,Mongolian People's Revolutionary Party (Mongol Ardyn Huv'sgalt Nam),597573,,62.5,,,,Punsalmaagiyn Ochirbat,Democratic Union (Ardchilsan Holboo),292896,,30.6,,,,Jambyn Gombojav,Mongolian Conservative United Party (Mongolyn Ulamjlalyn Negdsen Nam),65201,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
